Product Name,Sale Price,Regular Price
Beme Ripper Gaming Earphones,Save Rs.701.00,"Regular priceRs.2,200.00 PKR"
Lenovo HE05 Neckband Bluetooth,Save Rs.500.00,"Regular priceRs.1,999.00 PKR"
X8 Ultra Smartwatch 49MM with Bluetooth Calling,"Save Rs.4,000.00","Regular priceRs.11,999.00 PKR"
Gionee Handsfree (Original),"Save Rs.3,000.00","Regular priceRs.6,999.00 PKR"
BEME Explorer 22.5W 10000mAH PowerBank,"Save Rs.2,000.00","Regular priceRs.6,999.00 PKR"
BEME Explorer Mini 22.5W 5000mAh PowerBank,Save Rs.500.00,Regular priceRs.999.00 PKR
Lenovo LP10 True Wireless Headphones with ENC,"Save Rs.2,501.00","Regular priceRs.8,500.00 PKR"
AYRing Temperature Affect Color Changing Mood Ring,"Save Rs.2,199.00","Regular priceRs.2,999.00 PKR"
BEME Buds Pro 2 Max,Save Rs.200.00,Regular priceRs.499.00 PKR
HryFine Smart Bracelet,"Save Rs.1,500.00","Regular priceRs.2,999.00 PKR"
Magnetic Charging Cable - Braided LED Charging Cable,"Save Rs.1,600.00","Regular priceRs.8,999.00 PKR"
Haylou GT1 Bluetooth 5.0 Sports HD Stereo Touch Control Ear Buds,Save Rs.500.00,"Regular priceRs.1,499.00 PKR"
AKEKIO AE08 Stereo Handsfree,"Save Rs.3,001.00","Regular priceRs.8,000.00 PKR"
"Camera Detector Anti-peep detector compact and portable, USB infrared anti-monitoring","Save Rs.3,000.00","Regular priceRs.15,999.00 PKR"
Bluedi Ambient Sensor LED Night Light With Smart Auto ON / Off,,
HiWatch Pro T900 Ultra 2 Smart Watch,,
Rgb magnetic charging cable,,
YOLO Fortuner Calling Smart Watch with 1 Year Warranty,,
Audionic Supreme X10 NeckBand,,
"Tiktok,Instagram Bluetooth Remote 2023 Model",,
Motion Sensor Light Wireless LED Night Light,,
Multifunctional Zoom Flashlight With Currency Checker,,
BEME Explorer PowerBank 2 22.5W 10000mAh,,
"Mibro T1 Smart Watch with AMOLED Display, Bluetooth Calling (1 Month Warranty)",,
